Bill To Name First Line,Bill To Name Second Line,Account Number,Service Address,Bill Period Start,Bill Period End,Utility Type,Consumption Amount,Line Item Description,Line Item Charge,Bill Date,Due Date,SourceFile_Page
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,24.54,Demand Side Mgmt,$2.45,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,24.54,PurchCapCostAdj,$0.89,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,24.54,Trans Cost Adj,$2.00,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,24.54,ECA 02,$11.03,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,24.54,Trans Elec Plan,$0.53,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,MISSING,Renew. Energy Std Adj,$0.51,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,MISSING,Colo Energy Plan Adj,$0.51,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,MISSING,Clean Energy Plan Rev,$0.65,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,MISSING,Energy Assistance Chg,$0.81,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,MISSING,Franchise Fee,$1.63,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS,PROPERTY OWNER,53-001021,"9940 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6010",05/07/25,06/08/25,Electricity,MISSING,Sales Tax,$4.66,06/11/2025,06/11/2025,07-25 WCL Gas-Elec.pdf_page_3
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Service & Facility,$12.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,CTOU On-Peak,$8.18,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,CTOU On-Peak,$4.33,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,CTOU Shoulder,$6.13,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,CTOU Shoulder,$2.80,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,CTOU Off-Peak,$32.93,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,CTOU Off-Peak,$10.98,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,RDA,-$1.74,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,RDA,-$0.27,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Demand Side Mgmt,$6.51,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,PurchCapCostAdj,$2.39,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Trans Cost Adj,$5.33,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,ECA 02,$29.37,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Trans Elec Plan,$1.41,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Renew. Energy Std Adj,$1.21,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Colo Energy Plan Adj,$1.21,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Clean Energy Plan Rev,$1.50,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Energy Assistance Chg,$0.81,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Franchise Fee,$3.73,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,93-0010211902-1,"9740 WESTCLIFF PKWY BLDG HSE 1 WESTMINSTER, CO 80021-6000",05/07/25,06/08/25,Electricity,940 kWh,Sales Tax,$10.69,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_4
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Service & Facility,$12.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,8.25 kWh,CTOU On-Peak,$0.84,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,2.75 kWh,CTOU On-Peak,$0.44,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,15 kWh,CTOU Shoulder,$1.21,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,5 kWh,CTOU Shoulder,$0.55,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,183 kWh,CTOU Off-Peak,$10.98,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,61 kWh,CTOU Off-Peak,$3.66,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,206.25 kWh,RDA,-$0.51,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,68.75 kWh,RDA,-$0.08,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Demand Side Mgmt,$177,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,PurchCapCostAd,$0.64,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Trans Cost Adj,$1.44,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,ECA 02,$7.96,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Trans Elec Plan,$0.39,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Renew. Energy Std Adj,$0.41,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Colo Energy Plan Adj,$0.41,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Clean Energy Plan Rev,$0.50,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Energy Assistance Chg,$0.81,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Franchise Fee,$1.28,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9850 WESTCLIFF PKWY BLDG HSE WESTMINSTER, CO 80021-6015",05/07/2025,06/08/2025,Electricity,MISSING,Sales Tax,$3.67,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_5
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,Service & Facility,$12.00,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,CTOU On-Peak,$3.90,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,CTOU On-Peak,$2.06,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,CTOU Shoulder,$3.76,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
WESTCLIFF APARTMENTS PROPERTY OWNER,C/O UTILITIES DEPARTMENT,53-0010211902-1,"9810 WESTCLIFF PKWY BLDG HSE 9 WESTMINSTER, CO 80021-6003",05/07/25,06/08/25,Electricity,MISSING,CTOU Shoulder,$1.72,06/11/2025,07/02/2025,07-25 WCL Gas-Elec.pdf_page_6
